trade_date,open,high,low,close
20200218,54.4,54.4,53.32,53.53
20200219,53.36,53.87,53.17,53.54
20200220,53.7,54.98,53.32,54.86
20200221,54.5,54.82,54.02,54.28
20200224,55.36,55.37,54.45,54.91
20200225,54.0,54.46,53.8,54.43
20200226,53.7,55.32,53.21,54.3
20200227,54.3,55.2,54.21,54.91
20200228,53.88,54.18,52.79,53.05
20200302,53.05,54.75,53.05,54.34
20200303,54.51,55.0,53.97,54.5
20200304,54.0,54.44,53.61,54.25
20200305,54.55,56.8,54.35,56.54
20200306,55.82,56.3,55.54,55.8
20200309,54.4,54.47,53.81,53.89
20200310,53.89,55.68,53.89,55.32
20200311,55.12,55.32,54.46,54.47
20200312,53.85,53.87,52.88,53.17
20200313,50.87,52.96,50.07,51.9
20200316,52.2,52.27,50.0,50.1
20200317,49.62,51.3,48.57,49.0
20200318,49.7,51.89,49.58,49.7
20200319,50.35,50.6,47.5,48.6
20200320,49.25,49.73,48.5,49.05
20200323,47.5,47.98,46.3,46.5
20200324,47.35,48.25,46.91,47.99
20200325,49.5,50.16,48.86,49.49
20200326,49.4,49.77,48.84,49.0
20200327,50.0,50.45,49.38,49.45
20200330,48.8,48.8,47.5,48.09
20200331,48.76,49.35,48.34,48.42
20200401,48.95,49.32,48.05,48.58
20200402,48.17,49.0,47.8,48.96
20200403,48.8,49.06,48.21,48.38
20200407,49.21,49.4,48.7,48.97
20200408,48.6,48.73,48.06,48.24
20200409,48.52,48.55,48.11,48.3
20200410,48.3,50.56,48.04,49.28
20200413,49.59,50.58,49.3,49.89
20200414,50.67,50.7,49.6,50.48
20200415,50.0,51.28,49.2,50.2
20200416,50.2,50.2,49.27,49.49
20200417,50.0,50.31,49.6,50.09
20200420,50.29,50.98,50.01,50.73
20200421,50.99,51.0,50.0,50.25
20200422,50.2,51.47,49.99,51.4
20200423,51.69,52.39,51.31,51.99
20200424,52.04,52.3,51.71,52.01
20200427,51.27,52.24,50.85,51.5
20200428,51.5,51.94,50.75,51.79
20200429,51.4,52.77,51.15,52.25
20200430,53.3,54.16,53.3,53.75
20200506,53.0,54.2,52.7,54.2
20200507,54.19,54.45,53.84,54.0
20200508,54.48,56.48,54.23,56.33
20200511,56.59,58.5,56.42,56.91
20200512,57.5,58.38,57.03,58.0
20200513,57.6,58.0,56.91,57.75
20200514,57.75,58.3,57.51,58.0
20200515,58.0,58.1,56.87,56.95
20200518,57.5,58.2,56.63,57.49
20200519,58.4,59.2,58.0,58.76
20200520,58.53,59.1,58.52,59.03
20200521,59.55,59.64,58.36,58.72
20200522,58.44,58.55,56.61,57.12
20200525,58.3,58.39,56.14,56.84
20200526,57.3,58.25,56.77,58.0
20200527,58.25,59.38,57.89,58.25
20200528,59.17,59.37,57.83,58.15
20200529,57.99,59.25,57.99,59.02
20200601,59.3,60.48,59.3,60.42
20200602,59.66,59.66,58.55,58.7
20200603,59.15,59.37,57.91,58.33
20200604,58.85,59.9,58.71,58.85
20200605,58.99,59.18,58.6,58.95
20200608,59.4,61.56,59.03,60.16
20200609,60.55,61.43,60.28,60.66
20200610,61.08,61.21,60.18,60.32
20200611,60.35,60.61,59.1,59.66
20200612,58.7,60.0,58.5,59.98
20200615,59.09,59.43,58.0,58.0
20200616,58.69,59.3,58.59,59.0
20200617,58.81,58.88,57.65,57.9
20200618,57.85,57.99,57.16,57.85
20200619,57.85,59.98,57.85,59.77
20200622,59.6,59.95,58.92,59.09
20200623,58.86,59.46,58.48,59.0
20200624,59.2,60.18,59.09,59.7
20200629,59.7,60.0,58.71,59.95
20200630,60.0,61.0,59.5,59.79
20200701,59.7,62.49,58.92,62.44
20200702,61.81,63.42,61.61,62.95
20200703,63.1,63.95,61.83,62.39
20200706,62.81,64.99,62.51,64.03
20200707,64.14,67.55,64.1,64.38
